"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"India","IND","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","31016","35000","40000","44000","48000","54012","66000","78000","90000","100000","143000","170000","184293","203351","227668","250884","294313","334138","378714","382869","417769","461567","502581","553555","607773","648932","697568","750935","925365","988070","1063012","1136160","1195013","1257630","1354864","1502000","1650000","1797000","1944000","2091000","","","","","","","","","","","","","","","",
"India","IND","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.401275032345","119.961055081536","121.48632440882","132.896008909816","152.551053782092","172.230339025303","188.965017924367","181.231008642721","171.491764074282","172.094204150722","162.062790084332","152.247121080231","","",
"India","IND","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.329055300688","105.177203862352","115.271510073208","127.614591957051","136.403921543911","142.835225474934","153.349390803506","167.457295914491","179.035876924253","180.748291172705","164.782926424182","157.521853503185","","",
"India","IND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1749520","1764820","1761540","1767120","1771770","1775300","1778070","1783640","1777920","1780520","1778170","1779460","1787510","1792820","1796940","1796490","1795910","1805920","1805800","1802720","1804010","1807710","1804620","1814520","1813400","1811920","1815430","1810910","1815010","1814130","1815860","1813050","1813820","1812910","1809450","1805890","1809810","1808740","1810210","1809750","1804870","1805600","1802490","1803750","1801260","1799060","1796200","1797570","1800680","1795730","1796700","1796420","1802800","","",
"India","IND","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","58.8431953558299","59.3577941537541","59.2474749343298","59.4351521429845","59.5915498168634","59.7102775133779","59.803443439538","59.9907843091091","59.7983983532838","59.8858465150226","59.8068068303741","59.8501945721599","60.1209475344664","60.2995435878635","60.4381152903111","60.4229800315486","60.4034723646992","60.7401477873933","60.73611171839","60.632519280638","60.6759070224237","60.8003524833596","60.696423706524","61.0293993992984","60.991729421934","60.9419512375597","61.0600062559069","60.907980990115","61.0458800143953","61.0162821750376","61.0744688365022","60.9799575540076","61.0058556634457","60.9752488068371","60.8588754839079","60.7391387701425","60.8709836909178","60.8349954089715","60.8844372542623","60.8689656564162","60.7048321836142","60.7293849367178","60.6247834817149","60.6671622062499","60.5834137744308","60.5094191760365","60.4132261981239","60.4593046525785","60.5639061075814","60.3974182611942","60.4300431523044","60.4206256579633","60.6352099933069","","",
"India","IND","Arable land (hectares)","AG.LND.ARBL.HA","","155806000","156700000","157470000","157732000","158216000","158590000","159780000","160069000","159976000","160560000","159756000","160186000","161044000","161501000","161838000","162057000","162059000","163239000","163444000","162854000","162912000","163246000","162732000","163618000","163540000","163409000","163205000","162868000","163476000","163459000","163182000","162706000","162586000","162525000","161911000","161025000","161601000","161409000","160975000","160930000","160325000","160432000","159799000","159681000","159444000","158662000","158022000","157995000","157924000","157009000","156979000","156546000","157000000","","",
"India","IND","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.339674954966515","0.334790326448236","0.329621363205361","0.323426691401007","0.317753683737358","0.311937633527462","0.307765165332215","0.301860509743431","0.29524318740039","0.289849198372542","0.281952836023261","0.276277725754531","0.271368249027513","0.265868673123469","0.260313740063813","0.254733383946668","0.248973909980357","0.245126999245806","0.239879574829378","0.233572937999081","0.228308311842751","0.223531735391844","0.217738125244074","0.213973641384095","0.209107671727914","0.204361582596236","0.199704553751202","0.195064486431903","0.191707596872636","0.187754039224473","0.183657234505137","0.179495792693239","0.175868345466711","0.172421253908445","0.168503710714783","0.164430280066292","0.161954506198405","0.158804150291554","0.155534913500549","0.152760219691921","0.149572503452995","0.147159756076063","0.144174834203339","0.141759819831784","0.139334384760134","0.136531793080905","0.133952636064616","0.131984750777868","0.130066148508182","0.127547503229984","0.125840315825901","0.123889904735124","0.122704289304439","","",
"India","IND","Arable land (% of land area)","AG.LND.ARBL.ZS","","52.4036472610227","52.7043344017705","52.9633154961506","53.0514363360566","53.2142244525241","53.3400152697944","53.7402587792909","53.8374607744544","53.8061812396786","54.0026032645071","53.7321866412843","53.8768124472368","54.1653913809746","54.3190983421847","54.4324446133614","54.5061028726721","54.5067755508393","54.9036556694998","54.9726051816399","54.7741651223097","54.7936727891591","54.906010043085","54.7331317541092","55.0311281821881","55.0048937336665","54.9608333137136","54.892220140657","54.7788738694803","54.9833680323155","54.9776502678941","54.884484341734","54.7243869379354","54.6840262479021","54.6635095638018","54.456997366465","54.1590009383861","54.3527322505457","54.2881551464925","54.1421839842055","54.127048725443","53.9235635798587","53.959551861805","53.7466492218795","53.7069612100135","53.6272488471978","53.3642316838144","53.1489746703036","53.1398935150461","53.1160134401098","52.8082631786061","52.7981730060978","52.6525381828945","52.8052361268537","","",
"India","IND","Land under cereal production (hectares)","AG.LND.CREL.HA","","92239016","93852008","93571016","94306008","93277016","92729816","96062008","98822912","100872596","100377004","99673104","98043804","103788908","99388716","101366908","101465120","103723620","104340004","103473312","104067000","105508300","101083696","106613208","105175600","104056596","104049212","98573604","103542716","104055700","102536512","100243408","99499504","100066500","100184200","99450800","100300000","100167200","100904200","102091700","102402400","100271100","94470900","98603100","97805700","99519200","99236800","100833500","101155500","97171600","100075800","100585700","97100000","99250000","","",
"India","IND","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.74223645310256","1.91713277658004","1.54043300293624","1.4751832207158","1.41867825466923","1.3890804153115","1.34871972527824","1.5135258762474","1.5135258762474","1.5135258762474","1.61442760133056","1.61442760133056","1.68169541805266","1.68169541805266","1.68169541805266","1.68169541805266","1.68169541805266","1.68169541805266","1.68169541805266","1.78259714313582","1.84986495985793","1.84986495985793","1.95076668494109","1.95076668494109","1.95076668494109","2.0180345016632","2.18620404346846","2.18620404346846","2.18620404346846","2.23665490601004","2.35437358527373","2.45527531035689","2.5898109438011","2.62344485216216","2.69071266888426","2.85888221068953","2.85888221068953","2.89924290072279","3.07750261503638","3.0943195692169","3.19522129430006","3.22885520266111","3.36339083610533","3.43402204366354","3.44074882533575","3.63246210299375","3.76027095476576","3.83426555316007","3.96880118660429","4.11174529713876","4.1672412459345","4.30514027021482","4.37240808693693","","",
